Ticker,Sektor,Syariah,MktCap,Value_MA20,ROE,ROA,NPM,CAR,NPL,EPS_5Y,DPS_5Y,FCF_5Y,PR_5Y,DY_5Y,ICR,DebtEBITDA,Median_PER_3Y,Median_PBV_3Y
SMAR,Consumer Non-Cyclicals,ya,17.663.989.200.900,704480650.0,11.52,5.72,2.97,,,"[null, 1915.093553628102, 319.5491678466609, 444.01554774748985, 897.1380420966468]","[345.0, 310.0, 370.0, 200.0, 30.0]","[null, 2813048000000.0, 1930611000000.0, -2612289000000.0, 4622930000000.0]","[null, 0.1619, 1.1579, 0.4504, 0.0334]","[null, null, null, 0.0553, 0.0063]",4.22,,10.431729504905098,2.019299212056525
SMGA,Basic Materials,ya,778.750.000.000,715462685.0,12.33,5.14,2.48,,,"[null, null, null, null, null]","[null, null, null, null, null]","[null, null, null, null, null]","[null, null, null, null, null]","[null, null, null, null, null]",,,6.62553339007153,1.7812173699404212
SPTO,Industrials,ya,1.674.000.000.000,984014575.0,11.04,8.07,9.75,,,"[null, 76.43807898534313, 93.98411248047162, 105.90440190619451, 100.05356568351017]","[35.0, 50.0, 50.0, 60.0, 70.0]","[null, 163905477525.0, 161241196270.0, 301896330250.0, 91666521489.0]","[null, 0.6541, 0.532, 0.5665, 0.6996]","[null, null, null, 0.1022, 0.1077]",20.99,,6.814580333815407,1.5713128026517986
SRTG,Financials,ya,24.348.878.825.000,7667505607.133179,12.42,11.71,255.34,18.0,2.5,"[null, 339.3970343721718, -749.0767175240214, 242.83767733139888, 540.1614849434785]","[22.0, 60.0, 75.0, 22.0, 14.75]","[null, 3705911000000.0, 1407028000000.0, -1049476000000.0, 1374200000000.0]","[null, 0.1768, null, 0.0906, 0.0273]","[null, null, null, 0.0113, 0.01]",41.0,,6.918097189401239,0.9911635365807598
TBIG,Infrastructures,tidak,39.536.464.031.525,1297319325.0,11.21,3.09,20.65,,,"[null, 72.48336118979444, 69.06310831292083, 60.26889951366783, 63.15534648807876]","[32.0, 36.0, 60.3455, 55.204043999999996, 23.73]","[null, 909034000000.0, 1686358000000.0, 2622000000000.0, 2811995000000.0]","[null, 0.4967, 0.8738, 0.916, 0.3757]","[null, null, null, 0.0266, 0.0089]",1.8,,9.02931449602944,1.6837602785556607
TEBE,Energy,ya,1.619.100.000.000,1209025575.0,10.83,10.3,27.47,,,"[null, 252.2971423148162, 171.17745297575416, 103.30471451654677, 103.31894439917986]","[5.0, 70.0, 146.0, 100.0, null]","[null, 299229887000.0, 208801585000.0, 153626614000.0, 189504484000.0]","[null, 0.2775, 0.8529, 0.968, null]","[null, null, null, 0.1777, null]",6708.31,,9.290928206420297,12570.494346641131
TINS,Basic Materials,ya,26.662.957.365.320,284085548850.0,11.56,6.43,13.32,,,"[null, 129.54306878726342, -65.33089515792273, 168.21258299817157, 182.49952744661812]","[null, 61.2236, 41.9516, null, 63.73]","[null, 2096300000000.0, 11804000000.0, 2182833000000.0, 660417000000.0]","[null, 0.4726, null, null, 0.3492]","[null, null, null, null, 0.0205]",17.17,,6.62553339007153,1.7812173699404212
TOTO,Industrials,ya,2.786.400.000.000,243341260.0,13.67,9.98,14.92,,,"[null, 30.201148579315785, 23.634837442155956, 30.407924592013124, 34.03820461218371]","[10.0, 17.0, 19.0, 21.0, 22.0]","[null, 211764867911.0, 264980186606.0, 233441609226.0, 281413238859.0]","[null, 0.5629, 0.8039, 0.6906, 0.6463]","[null, null, null, 0.1043, 0.0809]",27.41,,6.814580333815407,1.5713128026517986
TOWR,Infrastructures,tidak,28.130.697.375.956,13523538707.557526,13.58,4.76,27.6,,,"[null, 62.166332012093385, 58.739827943011626, 60.37429075270693, 70.08311775816689]","[28.093, 24.1, 24.1, 18.1, 22.77]","[null, 3391931000000.0, 4342041000000.0, 4821033000000.0, 7067202000000.0]","[null, 0.3877, 0.4103, 0.2998, 0.3249]","[null, null, null, 0.0292, 0.0396]",2.27,,9.02931449602944,1.6837602785556607
TPMA,Energy,ya,1.876.469.718.190,4029312485.0,11.91,6.25,15.75,,,"[null, 0.004088729937568695, 0.008241895819677493, 0.0083137200947563, 0.005169408860945068]","[20.027586, 10.924138, 81.93103500000001, 40.965515, 80.0]","[null, 15354876.0, 1712423.0, -24056249.0, -22117560.0]","[null, 2671.768, 9940.7996, 4927.459, 15475.6573]","[null, null, null, 0.0722, 0.1416]",4.43,,9.290928206420297,12570.494346641131
UANG,Consumer Cyclicals,ya,4.392.300.000.000,1305553600.0,13.77,4.61,24.17,,,"[null, null, null, 70.20247933884298, 68.67685950413224]","[null, null, null, 8.26, null]","[null, null, null, -74850000000.0, -164496000000.0]","[null, null, null, 0.1177, null]","[null, null, null, 0.0112, null]",30.89,,9.975013185775808,2.217587767517111
UNIC,Basic Materials,ya,4.753.308.901.200,435922724.0625,11.45,10.08,9.23,,,"[null, 0.09634060028358024, 0.058065054017565475, 0.0524653424373836, 0.09784984701911281]","[149.0, 550.0, 360.0, 286.0, 663.0]","[null, 18837075.0, 11531092.0, 39304292.0, 74277946.0]","[null, 5708.9119, 6199.9426, 5451.2176, 6775.6876]","[null, null, null, 0.0386, 0.0733]",156.94,,6.62553339007153,1.7812173699404212
VICI,CONSUMER GOODS INDUSTRY,ya,4.125.420.000.000,669668000.0,12.52,10.22,9.69,,,"[null, 15.073116491067223, 27.328734972300488, 27.034425252153696, 21.19113911569885]","[8.5, 7.0, 9.0, 10.5, 10.0]","[null, 94919091053.0, 187080225492.0, 48287408006.0, 160726098385.0]","[null, 0.4644, 0.3293, 0.3884, 0.4719]","[null, null, null, 0.0163, 0.0147]",25.45,,33.29752953813104,3.8083070232552427
WBSA,Transportation & Logistic,ya,11.537.750.000.000,75644482400.0,10.02,2.86,2.14,,,"[null, null, null, null, null]","[null, null, null, null, null]","[null, null, null, null, null]","[null, null, null, null, null]","[null, null, null, null, null]",,,6.874085083154332,1.7723643131784446
TLKM,Infrastructures,ya,278.364.828.646.000,396889100950.0,14.04,7.45,19.85,,,"[null, 257.72299960018347, 239.76713879250073, 223.99972179463018, 177.6377986040828]","[168.01, 149.9656, 167.5987, 178.50418, 212.4665]","[null, 35085000000000.0, 24161000000000.0, 31937000000000.0, 38074000000000.0]","[null, 0.5819, 0.699, 0.7969, 1.1961]","[null, null, null, 0.0711, 0.0611]",6.86,,9.02931449602944,1.6837602785556607
MSIN,Consumer Cyclicals,ya,48.540.942.564.000,13797337525.0,14.23,11.56,25.44,,,"[null, 5.5997429312711935, 4.350834344049801, 7.192929119229954, 10.097653257439584]","[0.4, null, null, null, null]","[null, 248685000000.0, 125136000000.0, 9944000000.0, -484462000000.0]","[null, null, null, null, null]","[null, null, null, null, null]",187.71,,9.975013185775808,2.217587767517111
